sample_idx,time_sec,fhr_bpm
0,0.000000,95.360825
1,0.414508,95.360825
2,0.829016,95.360825
3,1.243523,95.360825
4,1.658031,95.360825
5,2.072539,95.360825
6,2.487047,95.072165
7,2.901554,94.927835
8,3.316062,94.783505
9,3.730570,94.639175
10,4.145078,94.494845
11,4.559585,93.628866
12,4.974093,93.484536
13,5.388601,93.340206
14,5.803109,93.051546
15,6.217617,92.762887
16,6.632124,92.618557
17,7.046632,91.608247
18,7.461140,91.463918
19,7.875648,91.319588
20,8.290155,91.030928
21,8.704663,90.886598
22,9.119171,90.742268
23,9.533679,90.597938
24,9.948187,90.309278
25,10.362694,89.587629
26,10.777202,89.298969
27,11.191710,89.154639
28,11.606218,88.865979
29,12.020725,88.721649
30,12.435233,88.721649
31,12.849741,88.721649
32,13.264249,88.721649
33,13.678756,88.577320
34,14.093264,88.577320
35,14.507772,88.288660
36,14.922280,87.711340
37,15.336788,87.567010
38,15.751295,87.567010
39,16.165803,87.567010
40,16.580311,87.422680
41,16.994819,87.134021
42,17.409326,86.845361
43,17.823834,86.701031
44,18.238342,86.701031
45,18.652850,86.701031
46,19.067358,86.701031
47,19.481865,86.556701
48,19.896373,86.556701
49,20.310881,85.835052
50,20.725389,85.546392
51,21.139896,85.546392
52,21.554404,85.546392
53,21.968912,85.546392
54,22.383420,85.546392
55,22.797927,85.546392
56,23.212435,85.546392
57,23.626943,85.546392
58,24.041451,85.546392
59,24.455959,85.546392
60,24.870466,85.546392
61,25.284974,85.546392
62,25.699482,85.546392
63,26.113990,85.546392
64,26.528497,85.546392
65,26.943005,85.546392
66,27.357513,85.546392
67,27.772021,85.835052
68,28.186528,86.123711
69,28.601036,86.123711
70,29.015544,86.123711
71,29.430052,86.123711
72,29.844560,86.123711
73,30.259067,86.268041
74,30.673575,86.268041
75,31.088083,86.268041
76,31.502591,86.268041
77,31.917098,86.268041
78,32.331606,86.268041
79,32.746114,86.268041
80,33.160622,86.412371
81,33.575130,86.701031
82,33.989637,86.845361
83,34.404145,86.989691
84,34.818653,86.989691
85,35.233161,86.989691
86,35.647668,86.989691
87,36.062176,87.134021
88,36.476684,87.278351
89,36.891192,88.000000
90,37.305699,88.144330
91,37.720207,88.577320
92,38.134715,90.309278
93,38.549223,90.453608
94,38.963731,90.597938
95,39.378238,92.329897
96,39.792746,92.474227
97,40.207254,92.618557
98,40.621762,92.618557
99,41.036269,93.051546
100,41.450777,93.195876
101,41.865285,93.340206
102,42.279793,93.484536
103,42.694301,95.360825
104,43.108808,95.505155
105,43.523316,95.649485
106,43.937824,97.381443
107,44.352332,97.525773
108,44.766839,97.525773
109,45.181347,97.670103
110,45.595855,98.391753
111,46.010363,98.680412
112,46.424870,98.824742
113,46.839378,100.701031
114,47.253886,100.845361
115,47.668394,100.989691
116,48.082902,101.278351
117,48.497409,102.865979
118,48.911917,103.010309
119,49.326425,103.010309
120,49.740933,103.298969
121,50.155440,103.443299
122,50.569948,103.587629
123,50.984456,103.731959
124,51.398964,104.886598
125,51.813472,105.030928
126,52.227979,105.175258
127,52.642487,105.608247
128,53.056995,105.752577
129,53.471503,105.896907
130,53.886010,105.896907
131,54.300518,106.185567
132,54.715026,107.773196
133,55.129534,107.917526
134,55.544041,108.494845
135,55.958549,109.793814
136,56.373057,109.938144
137,56.787565,109.938144
138,57.202073,109.938144
139,57.616580,109.938144
140,58.031088,109.938144
141,58.445596,110.082474
142,58.860104,110.515464
143,59.274611,111.958763
144,59.689119,112.103093
145,60.103627,112.391753
146,60.518135,113.113402
147,60.932642,113.257732
148,61.347150,113.257732
149,61.761658,113.257732
150,62.176166,113.257732
151,62.590674,113.257732
152,63.005181,113.402062
153,63.419689,113.690722
154,63.834197,113.979381
155,64.248705,113.979381
156,64.663212,114.123711
157,65.077720,115.134021
158,65.492228,115.278351
159,65.906736,115.567010
160,66.321244,116.000000
161,66.735751,116.144330
162,67.150259,116.144330
163,67.564767,116.144330
164,67.979275,116.144330
165,68.393782,116.144330
166,68.808290,116.288660
167,69.222798,117.298969
168,69.637306,117.443299
169,70.051813,117.443299
170,70.466321,117.443299
171,70.880829,117.443299
172,71.295337,117.443299
173,71.709845,117.587629
174,72.124352,117.731959
175,72.538860,119.030928
176,72.953368,120.329897
177,73.367876,120.618557
178,73.782383,122.206186
179,74.196891,122.350515
180,74.611399,122.494845
181,75.025907,124.082474
182,75.440415,127.546392
183,75.854922,127.690722
184,76.269430,127.835052
185,76.683938,129.278351
186,77.098446,131.731959
187,77.512953,131.731959
188,77.927461,131.731959
189,78.341969,131.731959
190,78.756477,131.731959
191,79.170984,131.731959
192,79.585492,131.731959
193,80.000000,131.731959
194,80.414508,131.731959
195,80.829016,131.587629
196,81.243523,131.010309
197,81.658031,130.865979
198,82.072539,130.144330
199,82.487047,129.278351
200,82.901554,128.989691
201,83.316062,128.845361
202,83.730570,128.556701
203,84.145078,128.268041
204,84.559585,128.268041
205,84.974093,128.123711
206,85.388601,127.690722
207,85.803109,127.113402
208,86.217617,126.969072
209,86.632124,126.969072
210,87.046632,126.969072
211,87.461140,126.969072
212,87.875648,126.969072
213,88.290155,126.969072
214,88.704663,126.969072
215,89.119171,126.969072
216,89.533679,126.969072
217,89.948187,126.969072
218,90.362694,126.969072
219,90.777202,126.969072
220,91.191710,126.969072
221,91.606218,126.969072
222,92.020725,126.969072
223,92.435233,126.969072
224,92.849741,126.969072
225,93.264249,126.969072
226,93.678756,126.969072
227,94.093264,126.969072
228,94.507772,126.969072
229,94.922280,126.969072
230,95.336788,126.824742
231,95.751295,124.515464
232,96.165803,124.226804
233,96.580311,124.082474
234,96.994819,122.494845
235,97.409326,122.206186
236,97.823834,122.206186
237,98.238342,122.061856
238,98.652850,121.773196
239,99.067358,118.309278
240,99.481865,118.164948
241,99.896373,117.298969
242,100.310881,116.144330
243,100.725389,116.144330
244,101.139896,115.855670
245,101.554404,114.701031
246,101.968912,110.082474
247,102.383420,109.938144
248,102.797927,109.938144
249,103.212435,109.793814
250,103.626943,109.505155
251,104.041451,106.041237
252,104.455959,105.752577
253,104.870466,104.886598
254,105.284974,102.721649
255,105.699482,102.577320
256,106.113990,102.432990
257,106.528497,100.268041
258,106.943005,98.680412
259,107.357513,98.536082
260,107.772021,98.391753
261,108.186528,98.247423
262,108.601036,96.659794
263,109.015544,96.371134
264,109.430052,96.226804
265,109.844560,95.938144
266,110.259067,95.649485
267,110.673575,95.505155
268,111.088083,95.360825
269,111.502591,94.494845
270,111.917098,94.350515
271,112.331606,94.350515
272,112.746114,94.206186
273,113.160622,93.917526
274,113.575130,93.773196
275,113.989637,93.628866
276,114.404145,92.041237
277,114.818653,91.608247
278,115.233161,91.608247
279,115.647668,91.319588
280,116.062176,90.453608
281,116.476684,89.587629
282,116.891192,89.587629
283,117.305699,89.587629
284,117.720207,89.443299
285,118.134715,89.443299
286,118.549223,89.443299
287,118.963731,89.154639
288,119.378238,88.577320
289,119.792746,88.432990
290,120.207254,88.144330
291,120.621762,87.855670
292,121.036269,87.711340
293,121.450777,87.567010
294,121.865285,87.567010
295,122.279793,87.567010
296,122.694301,87.567010
297,123.108808,87.567010
298,123.523316,87.567010
299,123.937824,87.567010
300,124.352332,87.567010
301,124.766839,87.567010
302,125.181347,87.567010
303,125.595855,87.711340
304,126.010363,87.711340
305,126.424870,87.711340
306,126.839378,87.711340
307,127.253886,87.711340
308,127.668394,87.711340
309,128.082902,87.711340
310,128.497409,85.690722
311,128.911917,85.546392
312,129.326425,85.402062
313,129.740933,85.257732
314,130.155440,78.762887
315,130.569948,68.515464
316,130.984456,67.938144
317,131.398964,67.649485
318,131.813472,67.649485
319,132.227979,67.360825
320,132.642487,63.319588
321,133.056995,80.206186
322,133.471503,96.948454
323,133.886010,96.804124
324,134.300518,96.659794
325,134.715026,96.515464
326,135.129534,96.515464
327,135.544041,96.226804
328,135.958549,94.494845
329,136.373057,94.350515
330,136.787565,94.350515
331,137.202073,94.350515
332,137.616580,94.350515
333,138.031088,94.350515
334,138.445596,94.350515
335,138.860104,94.350515
336,139.274611,94.350515
337,139.689119,94.350515
338,140.103627,94.350515
339,140.518135,94.350515
340,140.932642,94.350515
341,141.347150,94.350515
342,141.761658,98.103093
343,142.176166,98.103093
344,142.590674,98.103093
345,143.005181,98.103093
346,143.419689,98.103093
347,143.834197,98.247423
348,144.248705,98.391753
349,144.663212,99.113402
350,145.077720,101.567010
351,145.492228,103.298969
352,145.906736,103.443299
353,146.321244,103.587629
354,146.735751,103.876289
355,147.150259,106.329897
356,147.564767,106.329897
357,147.979275,106.474227
358,148.393782,106.762887
359,148.808290,109.505155
360,149.222798,109.793814
361,149.637306,112.391753
362,150.051813,112.536082
363,150.466321,112.680412
364,150.880829,113.690722
365,151.295337,113.835052
366,151.709845,113.835052
367,152.124352,113.979381
368,152.538860,114.412371
369,152.953368,114.412371
370,153.367876,114.412371
371,153.782383,114.412371
372,154.196891,114.412371
373,154.611399,114.556701
374,155.025907,114.701031
375,155.440415,117.731959
376,155.854922,117.876289
377,156.269430,118.020619
378,156.683938,118.597938
379,157.098446,118.742268
380,157.512953,119.030928
381,157.927461,119.752577
382,158.341969,119.896907
383,158.756477,120.041237
384,159.170984,121.917526
385,159.585492,122.061856
386,160.000000,122.061856
387,160.414508,122.350515
388,160.829016,123.938144
389,161.243523,124.226804
390,161.658031,124.515464
391,162.072539,124.659794
392,162.487047,124.659794
393,162.901554,124.659794
394,163.316062,124.804124
395,163.730570,124.804124
396,164.145078,124.804124
397,164.559585,124.948454
398,164.974093,125.958763
399,165.388601,126.247423
400,165.803109,127.835052
401,166.217617,127.979381
402,166.632124,127.979381
403,167.046632,127.979381
404,167.461140,127.979381
405,167.875648,127.979381
406,168.290155,127.979381
407,168.704663,127.979381
408,169.119171,127.690722
409,169.533679,127.546392
410,169.948187,127.546392
411,170.362694,127.546392
412,170.777202,127.546392
413,171.191710,127.402062
414,171.606218,127.402062
415,172.020725,127.402062
416,172.435233,127.402062
417,172.849741,127.402062
418,173.264249,127.402062
419,173.678756,127.402062
420,174.093264,127.402062
421,174.507772,127.402062
422,174.922280,127.402062
423,175.336788,127.402062
424,175.751295,127.402062
425,176.165803,127.402062
426,176.580311,127.402062
427,176.994819,127.402062
428,177.409326,127.402062
429,177.823834,127.402062
430,178.238342,127.402062
431,178.652850,127.402062
432,179.067358,127.402062
433,179.481865,127.402062
434,179.896373,127.402062
435,180.310881,127.402062
436,180.725389,127.402062
437,181.139896,127.402062
438,181.554404,127.402062
439,181.968912,127.402062
440,182.383420,127.402062
441,182.797927,127.402062
442,183.212435,125.958763
443,183.626943,125.670103
444,184.041451,125.525773
445,184.455959,125.525773
446,184.870466,125.525773
447,185.284974,125.525773
448,185.699482,125.525773
449,186.113990,125.381443
450,186.528497,125.237113
451,186.943005,124.948454
452,187.357513,124.804124
453,187.772021,123.938144
454,188.186528,123.649485
455,188.601036,123.505155
456,189.015544,123.505155
457,189.430052,123.505155
458,189.844560,123.505155
459,190.259067,123.505155
460,190.673575,123.360825
461,191.088083,123.072165
462,191.502591,122.783505
463,191.917098,122.639175
464,192.331606,122.350515
465,192.746114,121.628866
466,193.160622,121.484536
467,193.575130,121.195876
468,193.989637,120.474227
469,194.404145,119.608247
470,194.818653,119.608247
471,195.233161,119.608247
472,195.647668,119.608247
473,196.062176,119.608247
474,196.476684,119.608247
475,196.891192,119.608247
476,197.305699,119.608247
477,197.720207,119.608247
478,198.134715,119.608247
479,198.549223,119.608247
480,198.963731,119.608247
481,199.378238,119.608247
482,199.792746,119.608247
483,200.207254,119.608247
484,200.621762,119.463918
485,201.036269,119.463918
486,201.450777,118.597938
487,201.865285,117.587629
488,202.279793,117.587629
489,202.694301,117.443299
490,203.108808,117.443299
491,203.523316,117.443299
492,203.937824,117.443299
493,204.352332,117.298969
494,204.766839,117.010309
495,205.181347,116.721649
496,205.595855,116.577320
497,206.010363,115.711340
498,206.424870,114.989691
499,206.839378,114.845361
500,207.253886,114.701031
501,207.668394,114.701031
502,208.082902,114.701031
503,208.497409,114.701031
504,208.911917,114.701031
505,209.326425,114.701031
506,209.740933,114.701031
507,210.155440,114.701031
508,210.569948,114.701031
509,210.984456,114.701031
510,211.398964,114.701031
511,211.813472,114.701031
512,212.227979,114.701031
513,212.642487,114.701031
514,213.056995,114.701031
515,213.471503,114.701031
516,213.886010,115.711340
517,214.300518,115.711340
518,214.715026,115.711340
519,215.129534,115.711340
520,215.544041,115.711340
521,215.958549,115.711340
522,216.373057,115.711340
523,216.787565,115.711340
524,217.202073,115.711340
525,217.616580,115.711340
526,218.031088,115.711340
527,218.445596,115.711340
528,218.860104,115.711340
529,219.274611,115.711340
530,219.689119,115.711340
531,220.103627,115.711340
532,220.518135,115.567010
533,220.932642,117.010309
534,221.347150,117.154639
535,221.761658,117.298969
536,222.176166,118.164948
537,222.590674,118.309278
538,223.005181,118.309278
539,223.419689,118.309278
540,223.834197,118.309278
541,224.248705,118.453608
542,224.663212,119.752577
543,225.077720,121.195876
544,225.492228,121.195876
545,225.906736,121.340206
546,226.321244,123.072165
547,226.735751,123.072165
548,227.150259,123.216495
549,227.564767,123.216495
550,227.979275,123.216495
551,228.393782,123.360825
552,228.808290,124.371134
553,229.222798,124.515464
554,229.637306,124.515464
555,230.051813,124.515464
556,230.466321,124.515464
557,230.880829,124.659794
558,231.295337,124.804124
559,231.709845,125.092784
560,232.124352,125.237113
561,232.538860,125.381443
562,232.953368,126.391753
563,233.367876,126.536082
564,233.782383,126.536082
565,234.196891,126.824742
566,234.611399,127.257732
567,235.025907,127.257732
568,235.440415,127.546392
569,235.854922,128.412371
570,236.269430,128.412371
571,236.683938,128.412371
572,237.098446,128.412371
573,237.512953,128.412371
574,237.927461,128.412371
575,238.341969,128.412371
576,238.756477,128.412371
577,239.170984,128.412371
578,239.585492,128.412371
579,240.000000,130.577320
580,240.414508,130.577320
581,240.829016,130.577320
582,241.243523,130.577320
583,241.658031,130.577320
584,242.072539,130.577320
585,242.487047,130.577320
586,242.901554,130.577320
587,243.316062,130.577320
588,243.730570,130.577320
589,244.145078,130.577320
590,244.559585,130.577320
591,244.974093,130.577320
592,245.388601,130.577320
593,245.803109,130.577320
594,246.217617,130.577320
595,246.632124,130.721649
596,247.046632,130.865979
597,247.461140,131.298969
598,247.875648,131.443299
599,248.290155,131.443299
600,248.704663,131.443299
601,249.119171,131.443299
602,249.533679,131.587629
603,249.948187,132.597938
604,250.362694,132.742268
605,250.777202,132.742268
606,251.191710,132.742268
607,251.606218,132.742268
608,252.020725,132.742268
609,252.435233,132.742268
610,252.849741,132.742268
611,253.264249,132.742268
612,253.678756,132.742268
613,254.093264,132.742268
614,254.507772,132.742268
615,254.922280,132.742268
616,255.336788,132.742268
617,255.751295,132.742268
618,256.165803,132.309278
619,256.580311,132.164948
620,256.994819,132.164948
621,257.409326,132.164948
622,257.823834,132.164948
623,258.238342,132.164948
624,258.652850,132.164948
625,259.067358,132.164948
626,259.481865,132.164948
627,259.896373,132.164948
628,260.310881,132.164948
629,260.725389,132.164948
630,261.139896,132.164948
631,261.554404,132.164948
632,261.968912,132.164948
633,262.383420,132.164948
634,262.797927,131.876289
635,263.212435,131.587629
636,263.626943,131.443299
637,264.041451,131.443299
638,264.455959,131.443299
639,264.870466,131.443299
640,265.284974,131.443299
641,265.699482,131.443299
642,266.113990,131.443299
643,266.528497,131.443299
644,266.943005,131.298969
645,267.357513,131.154639
646,267.772021,130.721649
647,268.186528,129.422680
648,268.601036,129.278351
649,269.015544,129.134021
650,269.430052,128.845361
651,269.844560,126.536082
652,270.259067,126.536082
653,270.673575,126.536082
654,271.088083,126.536082
655,271.502591,126.536082
656,271.917098,126.536082
657,272.331606,126.247423
658,272.746114,128.701031
659,273.160622,128.701031
660,273.575130,128.701031
661,273.989637,128.701031
662,274.404145,128.701031
663,274.818653,128.701031
664,275.233161,125.814433
665,275.647668,123.360825
666,276.062176,123.360825
667,276.476684,123.360825
668,276.891192,123.360825
669,277.305699,123.360825
670,277.720207,123.360825
671,278.134715,123.360825
672,278.549223,123.360825
673,278.963731,123.360825
674,279.378238,123.360825
675,279.792746,123.360825
676,280.207254,123.360825
677,280.621762,123.360825
678,281.036269,123.360825
679,281.450777,123.360825
680,281.865285,123.360825
681,282.279793,123.360825
682,282.694301,123.360825
683,283.108808,123.360825
684,283.523316,123.360825
685,283.937824,123.360825
686,284.352332,123.360825
687,284.766839,123.360825
688,285.181347,123.360825
689,285.595855,121.484536
690,286.010363,119.463918
691,286.424870,119.463918
692,286.839378,119.463918
693,287.253886,119.463918
694,287.668394,119.608247
695,288.082902,119.608247
696,288.497409,119.608247
697,288.911917,119.608247
698,289.326425,119.608247
699,289.740933,119.608247
700,290.155440,119.752577
701,290.569948,119.752577
702,290.984456,119.752577
703,291.398964,119.752577
704,291.813472,119.752577
705,292.227979,119.752577
706,292.642487,119.752577
707,293.056995,119.752577
708,293.471503,119.752577
709,293.886010,119.752577
710,294.300518,119.752577
711,294.715026,119.752577
712,295.129534,119.752577
713,295.544041,119.752577
714,295.958549,119.752577
715,296.373057,119.752577
716,296.787565,119.752577
717,297.202073,119.752577
718,297.616580,119.752577
719,298.031088,119.752577
720,298.445596,119.752577
721,298.860104,119.752577
722,299.274611,119.752577
723,299.689119,119.752577
724,300.103627,119.752577
725,300.518135,120.618557
726,300.932642,111.092784
727,301.347150,107.773196
728,301.761658,107.340206
729,302.176166,107.051546
730,302.590674,106.041237
731,303.005181,103.298969
732,303.419689,103.298969
733,303.834197,103.298969
734,304.248705,103.298969
735,304.663212,103.298969
